date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:18	89690/89690	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2010:41:17%20GMT	https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/eBrochure/eBrochureDetails9877.html	(from )
16:11:18	782/782	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2010:41:17%20GMT	https://forest.mponline.gov.in/robots.txt		(from )
16:11:19	35134/35134	---M--	200	added ('OK')	text/css	etag:%223f8665d33be4d21:0%22	https://forest.mponline.gov.in/eBrochure/vendor/font-awesome/css/font-awesome.css	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/eBrochure/vendor/font-awesome/css/font-awesome.css	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
16:11:19	145992/145992	---M--	200	added ('OK')	text/css	etag:%22813cfad23be4d21:0%22	https://forest.mponline.gov.in/eBrochure/vendor/bootstrap/css/bootstrap.css	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/eBrochure/vendor/bootstrap/css/bootstrap.css	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
16:11:19	6824/6824	---M--	200	added ('OK')	text/css	etag:%2277c2c2b8a111d31:0%22	https://forest.mponline.gov.in/eBrochure/css/grayscale.css	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/eBrochure/css/grayscale.css	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
16:11:19	8219/8219	---M--	200	added ('OK')	application/javascript	etag:%2205b7cf26dd5cd1:0%22	https://forest.mponline.gov.in/js/modernizr.custom.js	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/js/modernizr.custom.js	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
16:11:20	92629/92629	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	D:/GomardaWebpage/GomardaWebpage/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
16:11:20	13547/13547	---M--	200	added ('OK')	application/javascript	etag:%2280171fd9b491d21:0%22	https://forest.mponline.gov.in/js/jQueryRotate.js	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/js/jQueryRotate.js	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
16:11:20	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%22e97352d33be4d21:0%22	https://forest.mponline.gov.in/eBrochure/vendor/bootstrap/js/bootstrap.min.js	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/eBrochure/vendor/bootstrap/js/bootstrap.min.js	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
16:11:20	5555/5555	---M--	200	added ('OK')	application/javascript	etag:%22f1de9ad23be4d21:0%22	https://forest.mponline.gov.in/eBrochure/js/jquery.easing.min.js	D:/GomardaWebpage/GomardaWebpage/forest.mponline.gov.in/eBrochure/js/jquery.easing.min.js	(from https://forest.mponline.gov.in/eBrochure/eBrochureDetails.aspx?parkid=1)
